cidade;ano;prev;lat;lon
sao_luis;2013;0.076210;-2.55;-44.30
sao_paulo;2013;0.097549;-23.55;-46.64
teresina;2013;0.076766;-8.28;-43.68
vitoria;2013;0.103255;-19.19;-40.34
aracaju;2015;0.099252;-10.90;-37.07
belem;2015;0.082376;-5.53;-52.29
belo_horizonte;2015;0.098156;-18.10;-44.38
boa_vista;2015;0.072557;1.89;-61.22
campo_grande;2015;0.130045;-20.51;-54.54
cuiaba;2015;0.111167;-12.64;-55.42
curitiba;2015;0.096404;-24.89;-51.55
distrito_federal;2015;0.098655;-15.83;-47.86
florianopolis;2015;0.118703;-27.33;-49.44
fortaleza;2015;0.097451;-3.71;-38.54
goiania;2015;0.097354;-16.64;-49.31
joao_pessoa;2015;0.103000;-7.06;-35.55
macapa;2015;0.091497;1.41;-51.77
maceio;2015;0.120200;-9.71;-35.73
manaus;2015;0.122134;-3.07;-61.66
natal;2015;0.106594;-5.22;-36.52
palmas;2015;0.061439;-10.25;-48.25
porto_alegre;2015;0.112270;-30.01;-51.22
porto_velho;2015;0.087824;-11.22;-62.80
recife;2015;0.108458;-8.28;-35.07
rio_branco;2015;0.099950;-8.77;-70.55
rio_de_janeiro;2015;0.113320;-22.84;-43.15
salvador;2015;0.104895;-12.96;-38.51
sao_luis;2015;0.083791;-2.55;-44.30
sao_paulo;2015;0.089411;-23.55;-46.64
teresina;2015;0.093453;-8.28;-43.68
vitoria;2015;0.115942;-19.19;-40.34
aracaju;2016;0.152854;-10.90;-37.07
belem;2016;0.114114;-5.53;-52.29
belo_horizonte;2016;0.138723;-18.10;-44.38
boa_vista;2016;0.078791;1.89;-61.22
campo_grande;2016;0.155644;-20.51;-54.54
cuiaba;2016;0.126471;-12.64;-55.42
curitiba;2016;0.153158;-24.89;-51.55
distrito_federal;2016;0.134791;-15.83;-47.86
florianopolis;2016;0.130435;-27.33;-49.44
fortaleza;2016;0.122942;-3.71;-38.54
goiania;2016;0.124751;-16.64;-49.31
joao_pessoa;2016;0.121939;-7.06;-35.55
macapa;2016;0.105851;1.41;-51.77
maceio;2016;0.127913;-9.71;-35.73
manaus;2016;0.105263;-3.07;-61.66
natal;2016;0.147835;-5.22;-36.52
palmas;2016;0.088004;-10.25;-48.25
porto_alegre;2016;0.137101;-30.01;-51.22
porto_velho;2016;0.105430;-11.22;-62.80
recife;2016;0.136386;-8.28;-35.07
rio_branco;2016;0.078627;-8.77;-70.55
rio_de_janeiro;2016;0.141675;-22.84;-43.15
salvador;2016;0.119667;-12.96;-38.51
sao_luis;2016;0.114788;-2.55;-44.30
sao_paulo;2016;0.127827;-23.55;-46.64
teresina;2016;0.092454;-8.28;-43.68
vitoria;2016;0.158263;-19.19;-40.34
aracaju;2017;0.110123;-10.90;-37.07
